original_title,overview,genres,tagline,keywords,directors,cast,poster_path,status,spoken_languages,averageRating
Hoodwinked Too! Hood VS. Evil,"Red Riding Hood is training in the group of Sister Hoods, when she and the Wolf are called to examine the sudden mysterious disappearance of Hansel and Gretel.","Comedy, Animation, Family",Not All Fairy Tales Go By the Book.,"witch, wolf, little red riding hood, sequel, goat, aftercreditsstinger, duringcreditsstinger",Mike Disa,"Hayden Panettiere, Glenn Close, Patrick Warburton, David Ogden Stiers, Joan Cusack, Bill Hader, Amy Poehler, Cory Edwards, Martin Short, Brad Garrett",/rp3oWYCiiOKddzsObLlgSGWz37.jpg,Released,English,4.7
버닝,An aspiring writer goes to the airport to pick up a high school friend returning from a trip to Africa but is disheartened to see her with another man.,"Mystery, Drama, Thriller",The truth is all in your head.,"fire, jealousy, dream, love triangle, cat, sex shop, sadness, sunlight, suspicion, greenhouse, love, arson, writer, class differences, based on short story, burning, metaphor, dance ritual, rural setting, korean countryside, sunsets, return to hometown, seoul, south korea, childhood memories, the great gatsby, disappearing",Lee Chang-dong,"Yoo Ah-in, Steven Yeun, Jun Jong-seo, Kim Soo-kyung, Moon Sung-keun, Min Bok-gi, Ban Hye-ra, Cha Mi-kyung, Lee Bong-ryeon, Jang Won-hyung",/kXiF80o74fE9gf3Utf9moAI7ar0.jpg,Released,"English, Korean",7.4
Hellborn,"Conrad Brooks discusses ""Hellborn,"" his unfinished movie with Ed Wood, and other projects",Documentary,"The aborted masterpiece of EDWARD D. WOOD, JR.","filmmaking, short compilation, film directing","Henry Bederski, Edward D. Wood Jr.","Conrad Brooks, Peter Coe, Mona McKinnon, Henry Bederski, Ted Brooks, Johnny Carpenter",/9mBsk2I3Yq1vvRcZT16a7xxM2Jv.jpg,Released,English,5.0
Mad Cows,"When her TV star husband Alex decides to divorce her so that he can start a career in politics, newly single mother Maddy goes shoplifting and ends up in jail. Losing custody of her infant child, Maddy hatches a scheme to break out of prison with the assistance of her friend Gillian, who's avoiding the law herself for credit card fraud. Now Maddy has to find the couple who have adopted her son and avoid falling in love with selfish Alex all over again.",Comedy,They don't take no bull,woman director,Sara Sugarman,"Anna Friel, Joanna Lumley, Anna Massey, Phyllida Law, Greg Wise, Elizabeth Berrington, Omid Djalili, John Standing, Nicholas Woodeson, Judy Cornwell",/aISSeQty0ijSRC5DvwZ3sOgNIxw.jpg,Released,English,4.0
Chris D'Elia: Incorrigible,"Comedian and actor Chris D’Elia, known for his dynamic physical comedy, explains why the NFL would be way more entertaining if it were real lions, bears and Vikings battling each other, that babies are the worst prize ever, and that you should never ask a Cuban directions unless you’re ready for the best time of your life.",Comedy,"With his one-of-a-kind take on everything from dating to the NFL, Chris D'Elia truly is incorrigible.",stand-up comedy,Bill D'Elia,Chris D'Elia,/wahU09gCOnwdWuEzc2rl3EWAzWg.jpg,Released,English,6.4
The Driller Killer,"An artist slowly goes insane while struggling to pay his bills, work on his paintings, and care for his two female roommates, which leads him taking to the streets of New York after dark and randomly killing derelicts with a power drill.",Horror,The Blood Runs In Rivers... And The Drill Keeps Tearing Through Flesh And Bone.,"new york city, concert, painting, artist, dark comedy, hallucination, insomnia, punk rock, murder, church, maniac, drill, punk band, homeless, video nasty",Abel Ferrara,"Carolyn Marz, Baybi Day, Harry Schultz, Alan Wynroth, Maria Helhoski, James O'Hara, Richard Howorth, Tommy Santora, Chuck Saaf, Gary Cohen",/xQwFCGkcZCmVRqhvpI3L70MCPGN.jpg,Released,English,5.2
Natasha,"Natasha takes place over the course of one summer. It is the story of Mark Berman, 16, the son of Russian-Jewish immigrants living in the suburbs north of Toronto. When his uncle enters into an arranged marriage with woman from Moscow, the woman arrives in Canada with her fourteen year-old daughter, Natasha. Mark, a slacker, is conscripted by his parents to take responsibility for the strange girl. He learns that, in Moscow, she’d led a troubled and promiscuous life. A secret and forbidden romance begins between the two of them that has bizarre and tragic consequences for everyone involved.",Drama,It Is the Opposite That Is Good for Us,"toronto, canada, forbidden love, summer, suburb, cousin cousin relationship",David Bezmozgis,"Alex Ozerov-Meyer, Sasha K. Gordon, Deanna Dezmari, Genadijs Dolganovs, Igor Ovadis, Aidan Shipley, Aya-Tatyana Stolnits, Pavel Tsitrinel, Mila Kanev, Lola Tash",/7yfwmxDahwJvLRtVVGzhtLuRtC4.jpg,Released,"English, Russian",6.1
Katt Williams: Live,"Katt Williams performs in Cincinnati, Ohio.",Comedy,Let a Playa Play,stand-up comedy,Alphonzo Wesson,Katt Williams,/fzNq6RCqLONQnsN3UhseV7dj5mi.jpg,Released,English,6.8
సీతా రామం,"Afreen, a rebellious Pakistani student sets ablaze the car of an Indian in London. Angered Afreen returns to Pakistan to ask for money from her grandfather that she has to pay in a month's time as damages. However, she gets to know that he is no more and the only thing he has left for her is a letter-delivering task, written by Ram to Sita. As Afreen sets out to find Ram, there begins her journey of discovering the secret behind the 20-year-old letter.","Romance, Drama",A love story written with war,love in war,Hanu Raghavapudi,"Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth, Vennela Kishore, Shatru, Sachin Khedekar, Prakash Raj, Ashwath Bhatt, Bhumika Chawla",/g3hk2wEeIsTGhh7JvK8yWFVR7ue.jpg,Released,Telugu,8.5
Ghare-Baire,"When the movie opens, a woman is recalling the events that molded her perspective on the world. Years ago, her husband, a wealthy Western-educated landowner, challenged tradition by providing her with schooling, and inviting her out of the seclusion in which married women were kept, to the consternation of more conservative relatives. Meeting her husband's visiting friend from college, a leader of an economic rebellion against the British, she takes up his political cause, despite her husbands warnings. As the story progresses, the relationship between the woman and the visitor becomes more than platonic, and the political battles, pitting rich against poor and Hindu against Moslem, turn out not to be quite as simple as she had first thought.",Drama,TRADITION VERSUS MODERNISM,"love triangle, patriotism, family drama, drama",Satyajit Ray,"Soumitra Chatterjee, Victor Banerjee, Swatilekha Sengupta, Gopa Aich, Jennifer Kendal, Manoj Mitra, Bimala Chatterjee, Indrapramit Roy",/vEU1eKvWPzzdMAcwzXjsH69dKro.jpg,Released,Bengali,7.5
Phantom Racer,"Seventeen years after being killed in a fiery accident, a racing car driver returns from the dead to seek vengeance on his enemies.","Horror, Action, Thriller, TV Movie",Fast furious and fatal,stock car racing,Terry Ingram,"Jackson Berlin, Adam Battrick, Greg Evigan, Chad Willett, Nicole Eggert, Brenna O'Brien, Winston Rekert, Luciana Carro, Robert Parent, Colin Lawrence",/AiyTWEj4pVIVFM1ltM6T95Yrwi3.jpg,Released,English,4.1
Maid to Order,"Spoiled Jessie Montgomery, whose wild behavior and spending excesses cause her well-meaning but exasperated millionaire father Charles to wish he never had her, is visited by fairy godmother Stella. In an effort to save Jessie, Stella casts a spell which causes Charles to no longer have a daughter. Jessie, now penniless and without a friend, must take a maid's job to earn a living, and hopefully to learn her lesson.","Comedy, Fantasy","She was raised in a Beverly Hills mansion. Now, she's got to clean one.","wish, maid, woman director, fairy godmother, weird couple",Amy Holden Jones,"Ally Sheedy, Beverly D'Angelo, Michael Ontkean, Valerie Perrine, Dick Shawn, Tom Skerritt, Merry Clayton, Begonya Plaza, Rain Phoenix, Leland Crooke",/l5XNXwjRieKMixWL7rGgtLANf75.jpg,Released,"English, Spanish",5.6
Pure Shit,"Four young heroin addicts scour the streets of Melbourne in search of some good-quality narcotics – or as they call it, 'pure shit’. In the space of 48 hours, a friend dies of an overdose, they are ripped off by criminals and arrested and assaulted by police. They bungle a break-in, get chased by hooligans and one is sent to a methadone clinic. The search for drugs veers between farce and tragedy, but it never stops.",Drama,Humour... in a black vein,drug addiction,Bert Deling,"Anne Hetherington, Carol Porter, Phil Motherwell, John Laurie, Gary Waddell, James Williamson",/ugrgOytcJdefJstEEWsupbWVk2y.jpg,Released,English,5.9
Judgment at Nuremberg,"In 1947, four German judges who served on the bench during the Nazi regime face a military tribunal to answer charges of crimes against humanity. Chief Justice Haywood hears evidence and testimony not only from lead defendant Ernst Janning and his defense attorney Hans Rolfe, but also from the widow of a Nazi general, an idealistic U.S. Army captain and reluctant witness Irene Wallner.",Drama,We have to forgive if we are to go on living.,"right and justice, nazi, court case, judge, concentration camp, world war ii, national socialism, national socialist party, nuremberg trials, trial, nuremberg, germany, courtroom drama",Stanley Kramer,"Spencer Tracy, Richard Widmark, Maximilian Schell, Burt Lancaster, Marlene Dietrich, Judy Garland, Montgomery Clift, William Shatner, Werner Klemperer, Kenneth MacKenna",/cqumfgd74ftVzOKJpFGOG64WlXL.jpg,Released,"English, German",8.3
Under the Silver Lake,"Young and disenchanted Sam meets a mysterious and beautiful woman who's swimming in his building's pool one night. When she suddenly vanishes the next morning, Sam embarks on a surreal quest across Los Angeles to decode the secret behind her disappearance, leading him into the murkiest depths of mystery, scandal and conspiracy.","Crime, Drama, Mystery",What are they hiding?,"secret society, seduction, dark comedy, surrealism, dream sequence, voyeur, part animation, neo-noir, hollywood hills, subliminal message",David Robert Mitchell,"Andrew Garfield, Riley Keough, Topher Grace, Callie Hernandez, Don McManus, Jeremy Bobb, Riki Lindhome, Patrick Fischler, Zosia Mamet, Jimmi Simpson",/cJ9aKlEgTLYtpYjNqin06YqJRUl.jpg,Released,English,6.5
Terrorist on Trial: The United States vs. Salim Ajami,"There is no question that the Arab terrorist portrayed by Robert Davi is guilty of killing five US citizens in Barcelona. Even his lawyers have zero respect for the rabidly sociopathic Davi. But Jewish defence attorney Ron Leibman is obsessed with the concept of Due Process, and has vowed that Davi will receive a scrupulously fair trial when the terrorist is extradited to America. The defence mounted by Leibman confounds and aggravates government prosecutor Sam Waterston--but he, like Leibman, remains a man of judiciary integrity.",Drama,Is he a prisoner of justice ... or revenge.,"professor, trial, lawyer, terrorism",Jeff Bleckner,"Sam Waterston, Ron Leibman, Robert Davi, Joe Morton, Jo Henderson, Stephen Lee, Frances Conroy, Sheila Kelley, James Greene, Nick Angotti",/zVidns6j5NGsijmdeZJ1KKT5o6A.jpg,Released,English,6.5
Velociraptor,"During the end of the world, two best friends walk around their city, talking about their sex lives, and one of them reveals they are still a virgin.","Comedy, Drama, Fantasy",My world is ending.,"sexuality, velociraptor, male friendship, comic book, end of the world, male homosexuality, best friend, masturbation, lgbt, sign languages, virginity, abandonment",Chucho E. Quintero,"Pablo Mezz, Carlos Hendrick Huber, Alan Aguilar, Berta Soní, Hugo Catalán, Roberto Becerra, Oliver Rendón, Naomy Romo, Gerardo del Razo, Ricardo Enríquez",/mGuQBdevB7q2JK6PMqYjCVrXN8W.jpg,Released,Spanish,6.1
Personals: College Girl Seeking...,"Lacking experience to write her research paper on sexual behavior, a 22-year old college student responds to personal ads to broaden her erotic horizons.","Drama, Romance",...an education in deviant sexual behavior.,erotic movie,Paul Levine,"Renee Rea, Brad Bartram, Tera Patrick, Sebastien Guy, Brandy Davis, Dillon Morgan Silver, Adoni Maropis, Toni Taylor, Sasha Peralto, Mary Shannon",/eY9yF7SgETbk3FpE8ehk9VjKHAI.jpg,Released,English,5.1
Adult Life Skills,"Anna is stuck: she’s approaching 30 and has just moved back to her rural home-town, and into a shed in her mother’s backyard. She spends her time working a menial job at a local boating center and hides in the depths of her imagination, making movies with her thumbs. Irritated by her childish behavior, Anna's mother insists that she move out of her shed and on with her life. When a troubled young boy starts hanging around, the two form an unlikely bond. Through their strange yet mutually beneficial friendship, Anna slowly begins to confront her perpetual state of arrested development.","Comedy, Drama",There's no badge for growing up,"hermit, isolation, ultimatum, woman director, arrested development, thumb puppets",Rachel Tunnard,"Jodie Whittaker, Lorraine Ashbourne, Brett Goldstein, Rachael Deering, Eileen Davies, Alice Lowe, Edward Hogg, Ozzy Myers, Christian Contreras, David Anderson",/1XiqACmd8cNOtD0pjxBoS7kWnGH.jpg,Released,English,6.3
In the Doghouse,After 10 years of failure a bumbling vet finally graduates and takes on his own practice.,"Comedy, Drama",If you're feeling,"london, england, veterinarian, traffic warden, romance, pets",Darcy Conyers,"Leslie Phillips, Hattie Jacques, Peggy Cummins, James Booth, Dick Bentley, Colin Gordon, Esma Cannon, Joan Hickson, Fenella Fielding, Joan Heal",/3eOQEReqeo7VL7RHPOs8J70dVoF.jpg,Released,English,6.1
Faccia a faccia,"History Professor Brad Fletcher heads west for his health, but falls in with Soloman Bennett's outlaw gang. Fascinated by their way of life, Fletcher finally takes over the gang, leading with a new 'efficient' ruthlessness.",Western,Facing death... a vigilante against an avenger.,spaghetti western,Sergio Sollima,"Gian Maria Volonté, Tomas Milian, William Berger, Jolanda Modio, Gianni Rizzo, Carole André, Ángel del Pozo, Aldo Sambrell, Nello Pazzafini, José Torres",/bYfyYYiGUMestxuaSneAUvSwryH.jpg,Released,Italian,7.1
The Prodigy,"""The Prodigy"" tells the story of small-time enforcer Truman Fisher's vicious conflict with a sadistic assassin who has chosen the unwilling Truman to be his successor. The assassin, who goes by the alias Rains and whose exploits have become the source of legend among Truman's underworld colleagues, drives Truman, through the pressure of constant violence and grief, to understand his own capacity for both bloodshed and compassion. Ultimately this reveals to Truman that he as with all of us, must find our place in this world or as Rains would say ""our place in this grand design."" This action begins quickly as Truman meets with a turncoat from a rival gang. This tense showdown erupts quickly into mayhem, when Rains makes his unexpected entrance. In the wake of the ensuing bloodbath, Truman is forced to reevaluate his own role in the small, violent world he inhabits, suddenly aware that there are larger powers at work which he does not understand...","Action, Drama, Family, Mystery, Thriller",Sometimes what you are looking for... is looking for you.,assassin,William Kaufman,"Holt Boggs, Glen Vorhis, Matt Beckham, Diana Lee Inosanto, Mirelly Taylor, Lawrence Varnado, Marc Hébert, Marc Jeffreys, Mark Hanson, Dameon Clarke",/7pvzSYArmjF2yZNPHChUeRH8nfS.jpg,Released,English,5.3
